"label","en_text","id_text"
"negative","The steelmaker said that the drop in profit was explained by the continuing economic uncertainty , mixed with the current drought in bank lending , resulting in a decline in demand for its products as customers find it increasingly difficult to fund operations .","Produsen baja tersebut mengatakan bahwa penurunan laba disebabkan oleh ketidakpastian ekonomi yang terus berlanjut, ditambah dengan kekeringan pinjaman bank saat ini, yang mengakibatkan penurunan permintaan terhadap produk-produknya karena pelanggan merasa semakin sulit untuk mendanai operasional."
"negative","National Conciliator Juhani Salonius , who met both parties on Wednesday , said they were too far apart in their views for him to propose mediation .","Konsiliator Nasional Juhani Salonius, yang bertemu dengan kedua pihak pada Rabu, mengatakan pandangan mereka terlalu berjauhan baginya untuk mengajukan mediasi."
"negative","Several large stocks tacked lower , however .","Namun, beberapa saham besar tertempel lebih rendah."
"negative","Finnish-Swedish Stora Enso does not understand the decision issued by a federal judge in Brazil concerning Stora Enso 's associated pulp company Veracel .","Stora Enso yang berkewarganegaraan Finlandia-Swedia tidak memahami keputusan yang dikeluarkan oleh hakim federal di Brazil mengenai perusahaan pulp Stora Enso yang terkait, Veracel."
"negative","Okmetic expects its net sales for the first half of 2009 to be less than in 2008 .","Okmetic memperkirakan penjualan bersihnya pada paruh pertama tahun 2009 akan lebih rendah dibandingkan tahun 2008."
"negative","Operating profit in the fourth quarter fell to EUR33m from EUR39m a year earlier .","Laba operasional pada kuartal keempat turun menjadi EUR33 juta dari EUR39 juta setahun sebelumnya."
"negative","The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .","Perusahaan industri elektronik internasional Elcoteq telah memberhentikan puluhan karyawannya dari fasilitasnya di Tallinn; Berbeda dengan PHK sebelumnya, perusahaan ini mengontrak sejumlah pekerja kantornya, lapor harian Postimees."
"negative","We have also cut our price projections for paper and packaging , '' an analyst with Goldman Sachs said on a note on Monday .","Kami juga telah memangkas proyeksi harga untuk kertas dan kemasan,'' kata seorang analis di Goldman Sachs dalam sebuah catatan pada hari Senin."
"negative","Tallink Silja attributes the significant drop to problems with the booking system that was taken into operation in October , the sale of trailer ferry ` Sky Wind ' and the route between Stockholm and Riga , which has won passengers from the Helsinki-Stockholm route .","Tallink Silja mengaitkan penurunan yang signifikan ini dengan masalah sistem pemesanan yang mulai beroperasi pada bulan Oktober, penjualan kapal feri trailer `Sky Wind' dan rute antara Stockholm dan Riga, yang telah memenangkan penumpang dari rute Helsinki-Stockholm."
"negative","Operating loss increased to EUR 17mn from a loss of EUR 10.8 mn in 2005 .","Kerugian operasional meningkat menjadi EUR 17 juta dari kerugian sebesar EUR 10,8 juta pada tahun 2005 ."
"negative","Antti Orkola , president of Kemira GrowHow 's Industrial Solutions unit , told Thomson Financial News the company has put off opening the mine as prices of phosphate have been ` quite depressed for a long time ' . '","Antti Orkola, presiden unit Solusi Industri Kemira GrowHow, mengatakan kepada Thomson Financial News bahwa perusahaan telah menunda pembukaan tambang karena harga fosfat telah `cukup tertekan dalam waktu yang lama'. '"
"negative","Incap Furniture is presently negotiating staff cuts .","Incap Furniture saat ini sedang merundingkan pemotongan staf."
"negative","Earnings per share EPS in 2005 decreased to EUR0 .66 from EUR1 .15 in 2004 .","Laba per saham EPS pada tahun 2005 turun menjadi EUR0,66 dari EUR1,15 pada tahun 2004."
"negative","- The Group 's sales during the period were EUR 37.5 million ( EUR 48.2 million , 1-9/2008 ) and result before taxes was a loss of EUR -3.5 ( +1.2 ) million .","- Penjualan Grup selama periode tersebut adalah EUR 37,5 juta ( EUR 48,2 juta , 1-9/2008 ) dan hasil sebelum pajak adalah kerugian EUR -3,5 ( +1,2 ) juta ."
"negative","In food trade , sales amounted to EUR320 .1 m , a decline of 1.1 % .","Dalam perdagangan makanan, penjualan mencapai EUR320,1 juta, turun 1,1%."
"negative","Net cash flow from operating activities was a negative EUR 3.1 mn , compared to EUR 23.3 mn in the corresponding period in 2009 .","Arus kas bersih dari aktivitas operasi adalah negatif sebesar EUR 3,1 juta, dibandingkan dengan EUR 23,3 juta pada periode yang sama tahun 2009."
"negative","A survey conducted by Taloustutkimus for Sampo Life shows that companies are badly prepared to losing key staff members .","Sebuah survei yang dilakukan oleh Taloustutkimus untuk Sampo Life menunjukkan bahwa perusahaan sangat siap untuk kehilangan anggota staf kunci."
"negative","Loss for the period totalled EUR 15.6 mn compared to a profit of EUR 6.3 mn in 2008 .","Kerugian pada periode tersebut berjumlah EUR 15,6 juta dibandingkan dengan keuntungan sebesar EUR 6,3 juta pada tahun 2008 ."
"negative","Operating profit fell from EUR 7.9 mn in the second quarter of 2005 to EUR 5.1 mn in the second quarter of 2006 .","Laba operasional turun dari EUR 7,9 juta pada kuartal kedua tahun 2005 menjadi EUR 5,1 juta pada kuartal kedua tahun 2006 ."
"negative","The air traffic of Finland has been in stoppage since then .","Lalu lintas udara Finlandia terhenti sejak saat itu."
"negative","Operating loss totaled EUR 0.8 mn , compared to a profit of EUR 0.5 mn .","Kerugian operasional berjumlah EUR 0,8 juta, dibandingkan dengan keuntungan sebesar EUR 0,5 juta."
"negative","Ramirent made 18 million kroons EUR 1.15 mln loss last year ; the year before the company was 7.3 million kroons in the black .","Ramirent membuat kerugian 18 juta kroons EUR 1,15 juta tahun lalu; tahun sebelum perusahaan adalah 7,3 juta kroon hitam."
"negative","Due to market conditions , the company will also temporarily lay off about 3,200 people at different sites .","Karena kondisi pasar, perusahaan juga akan memberhentikan sementara sekitar 3.200 orang di lokasi yang berbeda."
"negative","The company expects its net sales for the whole 2009 to remain below the 2008 level .","Perusahaan memperkirakan penjualan bersihnya sepanjang tahun 2009 akan tetap berada di bawah tingkat penjualan tahun 2008."
"negative","Making matters more difficult , the company said it has been grappling with higher oil and gas prices , which have pushed up the cost of energy , raw materials and transportation .","Membuat masalah menjadi lebih sulit, perusahaan mengatakan telah bergulat dengan harga minyak dan gas yang lebih tinggi, yang telah mendorong naiknya biaya energi, bahan baku dan transportasi."
"negative","Capacity will ease at its Seikku sawmill in Pori and Alholma sawmill in Pietarsaari and result in 60 people being laid off for around six weeks starting mid-May , it said .","Kapasitas akan berkurang di pabrik penggergajian Seikku di Pori dan pabrik penggergajian Alholma di Pietarsaari dan mengakibatkan 60 orang diberhentikan selama sekitar enam minggu mulai pertengahan Mei, katanya."
"negative","LONDON MarketWatch -- Share prices ended lower in London Monday as a rebound in bank stocks failed to offset broader weakness for the FTSE 100 .","LONDON MarketWatch -- Harga saham berakhir lebih rendah di London Senin karena rebound pada saham bank gagal mengimbangi kelemahan yang lebih luas untuk FTSE 100 ."
"negative","Also construction expenses have gone up in Russia .","Biaya konstruksi juga meningkat di Rusia."
"negative","ADPnews - Jul 17 , 2009 - Finland-based steel maker Rautaruukki Oyj Ruukki HEL : RTRKS said today it slipped to a net loss of EUR 184 million USD 259.7 m for the first half of 2009 from a net profit of EUR 2","ADPnews - 17 Juli 2009 - Produsen baja asal Finlandia Rautaruukki Oyj Ruukki HEL : RTRKS hari ini mengumumkan kerugian bersih sebesar EUR 184 juta USD 259.7 juta pada paruh pertama tahun 2009 dari laba bersih sebesar EUR 2"
"negative","Finnish investment group Norvestia Oyj said its net profit fell to 23.5 mln euro $ 30.6 mln in 2006 from 33.5 mln euro $ 43.6 mln in 2005 .","Kelompok investasi Finlandia Norvestia Oyj mengatakan laba bersihnya turun menjadi 23,5 juta euro$30,6 juta pada tahun 2006 dari 33,5 juta euro$43,6 juta pada tahun 2005."
"negative","Also the city 's insurance company , If P & C Insurance , has said it will not pay compensation .","Perusahaan asuransi kota, If P&C Insurance, juga mengatakan tidak akan membayar ganti rugi."
"negative","Asian traffic declined by 3.4 per cent .","Lalu lintas di Asia menurun sebesar 3,4 persen."
"negative","A total of 140 jobs will be reduced at the Raahe Steel Works .","Sebanyak 140 pekerjaan akan dikurangi di Raahe Steel Works."
"negative","The production is to be liquidated before June 2009 and 325 employees loose their jobs .","Produksi akan dilikuidasi sebelum Juni 2009 dan 325 karyawan kehilangan pekerjaan mereka."
"negative","Operating loss totalled EUR 4.0 mn , compared to a profit of EUR 8.6 mn in the second quarter of 2008 .","Kerugian operasional berjumlah EUR 4,0 juta, dibandingkan dengan keuntungan sebesar EUR 8,6 juta pada kuartal kedua tahun 2008."
"negative","Cerberus Capital Management LP-backed printing paper maker NewPage Corp. has posted mixed second-quarter results , casting a cloud over its planned initial public offering .","Pembuat kertas cetak yang didukung LP Cerberus Capital Management, NewPage Corp. telah membukukan hasil kuartal kedua yang beragam, memberikan awan atas rencana penawaran umum perdananya."
"negative","The Group 's order portfolio decreased from EUR 42.9 mn in 9-2007 to EUR 33.3 mn in 2-2008 .","Portofolio pesanan Grup turun dari EUR 42,9 juta pada 9-2007 menjadi EUR 33,3 juta pada 2-2008."
"negative","At this growth rate , paying off the national debt will be extremely painful .","Pada tingkat pertumbuhan seperti ini, membayar utang negara akan sangat menyakitkan."
"negative","Loss after financial items totalled EUR 9.7 mn , compared to a profit of EUR 1.3 mn in the corresponding period in 2008 .","Kerugian setelah item keuangan berjumlah EUR 9,7 juta , dibandingkan dengan keuntungan EUR 1,3 juta pada periode yang sama di tahun 2008 ."
"negative","A tinyurl link takes users to a scamming site promising that users can earn thousands of dollars by becoming a Google ( NASDAQ : GOOG ) Cash advertiser .","Tautan tinyurl membawa pengguna ke situs penipuan yang menjanjikan bahwa pengguna dapat memperoleh ribuan dolar dengan menjadi pengiklan Google (NASDAQ: GOOG) Tunai."
"negative","Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .","Laba per saham (EPS) terdilusi turun menjadi EUR 0,63 dari EUR 1,71."
"negative","Nokia s U.S. shares were 3.3 percent lower at $ 12.73 by 1750 GMT .","Saham Nokia AS turun 3,3 persen menjadi $12,73 pada 1750 GMT ."
"negative","Managing Director 's comments : `` Net sales for the first quarter were notably lower than a year before , especially in Finland , Russia and the Baltic countries .","Komentar Managing Director: `` Penjualan bersih untuk kuartal pertama lebih rendah dari tahun sebelumnya, terutama di Finlandia, Rusia dan negara-negara Baltik."
"negative","The acquisition of +_landsbanken Sverige in 2009 burdened the performance with EUR 3.0 mn .","Akuisisi +_landsbanken Sverige pada tahun 2009 membebani kinerja dengan EUR 3,0 juta."
"negative","In Finland , the city of Forssa has said it will not pay compensation to food industry companies HK Ruokatalo and Atria for the lye leak into tap water that occurred in March 2008 .","Di Finlandia , kota Forssa telah mengatakan tidak akan membayar kompensasi kepada perusahaan industri makanan HK Ruokatalo dan Atria atas kebocoran alkali ke dalam air keran yang terjadi pada Maret 2008 ."
"negative","The tightened competition situation in the production automation market has affected net sales during 2006 , Cencorp said .","Situasi persaingan yang ketat di pasar otomatisasi produksi telah mempengaruhi penjualan bersih selama tahun 2006, kata Cencorp."
"negative","Raute reported a loss per share of EUR0 .86 for the first half of 2009 , against EPS of EUR0 .74 in the corresponding period of 2008 .","Raute melaporkan kerugian per saham sebesar EUR0,86 untuk paruh pertama tahun 2009 , terhadap EPS sebesar EUR0,74 pada periode yang sama tahun 2008 ."
"negative","Return on investment ROI was 4.1 % compared to 43.8 % in the first half of 2008 .","Pengembalian investasi ROI adalah 4,1% dibandingkan dengan 43,8% pada semester pertama tahun 2008 ."
"negative","Jan. 6 -- Ford is struggling in the face of slowing truck and SUV sales and a surfeit of up-to-date , gotta-have cars .","6 Januari -- Ford sedang berjuang menghadapi melambatnya penjualan truk dan SUV serta melimpahnya mobil-mobil terkini yang harus dimiliki."
"negative","They are also upset that some of the machinery and work is taken over to Poland .","Mereka juga kesal karena beberapa mesin dan pekerjaan diambil alih ke Polandia."
"negative","According to Swedish authorities , traces of the very toxic osmium tetroxide have been found on the coast of Per+Æmeri , the Northernmost part of the Gulf of Bothnia .","Menurut pihak berwenang Swedia, jejak osmium tetroksida yang sangat beracun telah ditemukan di pantai Per+Æmeri, bagian paling utara dari Teluk Bothnia."
"negative","Operating profit for the 12-month period decreased from EUR157 .5 m , while net sales increased from EUR634 .3 m , as compared to 2007 .","Laba operasional untuk periode 12 bulan turun dari EUR157,5 juta , sedangkan penjualan bersih meningkat dari EUR634,3 juta , dibandingkan dengan tahun 2007 ."
"negative","Myllykoski , with one paper plant in Finland , one in the US and three in Germany , had revenues of EUR286m in the first half of 2010 and an operating loss of EUR12m , Reuters said .","Myllykoski, dengan satu pabrik kertas di Finlandia, satu di AS dan tiga di Jerman, memperoleh pendapatan sebesar EUR286 juta pada semester pertama tahun 2010 dan kerugian operasional sebesar EUR12 juta, kata Reuters."
"negative","However , the growth margin slowed down due to the financial crisis .","Namun, margin pertumbuhan melambat akibat krisis keuangan."
"negative","However , the orders received during the period under review fell by 17 % quarter-on-quarter from the EUR 213 million recorded in the second quarter of 2010 .","Namun , pesanan yang diterima selama periode yang ditinjau turun 17% kuartal ke kuartal dari EUR 213 juta yang tercatat pada kuartal kedua 2010 ."
"negative","Return on capital employed ROCE was a negative 2.3 % compared to 11.3 % in 2007 .","Pengembalian modal yang digunakan ROCE adalah negatif 2,3% dibandingkan dengan 11,3% pada tahun 2007."
"negative","Operating loss totalled EUR 12.7 mn , compared to a profit of EUR 17.7 mn in the first half of 2008 .","Kerugian operasional mencapai EUR 12,7 juta , dibandingkan dengan laba EUR 17,7 juta pada paruh pertama tahun 2008 ."
"negative","Operating loss totalled EUR 3.2 mn , compared to a profit of EUR 7.2 mn in the third quarter of 2008 .","Kerugian operasional mencapai EUR 3,2 juta , dibandingkan dengan laba EUR 7,2 juta pada kuartal ketiga 2008 ."
"negative","Additionally , the company will terminate a maximum nine salaried and senior salaried employees ' employment contracts .","Selain itu, perusahaan akan memutuskan kontrak kerja maksimum sembilan karyawan tetap dan karyawan senior."
"negative","( ADP News ) - Feb 4 , 2009 - Finnish broadband data communication systems and solutions company Teleste Oyj ( HEL : TLT1V ) said today its net profit decreased to EUR 5.5 million ( USD 7.2 m ) for 2008 from EUR 9.4 million for 200","( ADP News ) - 4 Feb 2009 - Perusahaan solusi dan sistem komunikasi data broadband Finlandia Teleste Oyj ( HEL : TLT1V ) mengatakan hari ini laba bersihnya turun menjadi EUR 5,5 juta ( USD 7,2 juta ) untuk 2008 dari EUR 9,4 juta untuk 200"
"negative","Operating profit excluding non-recurring items amounted to EUR 40.6 mn , down from EUR 57.3 mn year-on-year .","Laba operasional tidak termasuk item yang tidak berulang berjumlah EUR 40,6 juta, turun dari EUR 57,3 juta tahun ke tahun."
"negative","Peer Peugeot fell 0.81 pct as its sales rose only 6.3 pct from the same period last year .","Peer Peugeot turun 0,81 persen karena penjualannya hanya naik 6,3 persen dari periode yang sama tahun lalu."
"negative","Commission income fell to EUR 4.6 mn from EUR 5.1 mn in the corresponding period in 2007 .","Pendapatan komisi turun menjadi EUR 4,6 juta dari EUR 5,1 juta pada periode yang sama tahun 2007 ."
"negative","Full-year operating result for 2008 was 3.6 million negative .","Hasil operasi setahun penuh untuk 2008 adalah 3,6 juta negatif."
